architecture_family_id,architecture_family_label,agreements,rank_within_family,index_name,family_mean,overall_mean,deviation_from_sample
8,Export Liberalisation and Regulatory Compatibility Architecture,19,8,serv_exc,0.733652312599681,0.3505538248528902,0.3830984877467908
8,Export Liberalisation and Regulatory Compatibility Architecture,19,9,serv_transparency,0.763157894736842,0.38765576323987544,0.3755021314969666
8,Export Liberalisation and Regulatory Compatibility Architecture,19,10,TBT_transparency,0.631578947368421,0.26998961578400826,0.36158933158441275
8,Export Liberalisation and Regulatory Compatibility Architecture,19,11,serv_roo,0.6491228070175437,0.2995846313603322,0.34953817565721146
8,Export Liberalisation and Regulatory Compatibility Architecture,19,12,SPS_standards,0.506578947368421,0.16160436137071651,0.3449745859977045
8,Export Liberalisation and Regulatory Compatibility Architecture,19,13,serv_other,0.5717703349282296,0.22883035967148113,0.34293997525674846
8,Export Liberalisation and Regulatory Compatibility Architecture,19,14,SPS_framework,0.8631578947368421,0.5289719626168224,0.3341859321200197
8,Export Liberalisation and Regulatory Compatibility Architecture,19,15,TBT_cooperation,0.5614035087719298,0.23987538940809974,0.3215281193638301
8,Export Liberalisation and Regulatory Compatibility Architecture,19,16,CD_Subsidies,0.42105263157894735,0.10747663551401866,0.3135759960649287
8,Export Liberalisation and Regulatory Compatibility Architecture,19,17,labor_object,0.5526315789473684,0.29127725856697806,0.2613543203803903
8,Export Liberalisation and Regulatory Compatibility Architecture,19,18,export_coo,0.7192982456140351,0.4603669089650398,0.2589313366489953
8,Export Liberalisation and Regulatory Compatibility Architecture,19,19,RoO_additional_flex,0.9342105263157895,0.6832814122533749,0.2509291140624146
8,Export Liberalisation and Regulatory Compatibility Architecture,19,20,TBT_DS,0.912280701754386,0.6713395638629284,0.24094113789145766
8,Export Liberalisation and Regulatory Compatibility Architecture,19,21,MoC_exceptions,0.631578947368421,0.39979231568016615,0.23178663168825486
8,Export Liberalisation and Regulatory Compatibility Architecture,19,22,export_taxes,0.5307017543859649,0.3006230529595016,0.2300787014264633
8,Export Liberalisation and Regulatory Compatibility Architecture,19,23,invest_lib,0.5864661654135338,0.35781041388518026,0.22865575152835355
8,Export Liberalisation and Regulatory Compatibility Architecture,19,24,invest_transparency,0.3684210526315789,0.14719626168224292,0.221224790949336
8,Export Liberalisation and Regulatory Compatibility Architecture,19,25,SPS_audit,0.2894736842105263,0.07538940809968848,0.21408427611083786
8,Export Liberalisation and Regulatory Compatibility Architecture,19,26,serv_DR,0.5451127819548872,0.34131619937694707,0.20379658257794014
8,Export Liberalisation and Regulatory Compatibility Architecture,19,27,invest_protect,0.6111111111111112,0.41190723433714094,0.19920387677397022
8,Export Liberalisation and Regulatory Compatibility Architecture,19,28,VA_exc,0.43157894736842106,0.23925233644859825,0.1923266109198228
8,Export Liberalisation and Regulatory Compatibility Architecture,19,29,export_agriculture,0.2894736842105263,0.09968847352024922,0.1897852106902771
8,Export Liberalisation and Regulatory Compatibility Architecture,19,30,serv_mobility,0.38596491228070173,0.20664589823468327,0.17931901404601847
8,Export Liberalisation and Regulatory Compatibility Architecture,19,31,soe_enforcement,0.4,0.2236760124610592,0.17632398753894082
8,Export Liberalisation and Regulatory Compatibility Architecture,19,32,soe_object_coverage,0.5750487329434698,0.4125995154032537,0.16244921754021613
8,Export Liberalisation and Regulatory Compatibility Architecture,19,33,MoC_exclusions,0.36363636363636365,0.20504106485414897,0.15859529878221468
8,Export Liberalisation and Regulatory Compatibility Architecture,19,34,RoO_sourcing_flex,0.5605263157894737,0.411993769470405,0.14853254631906865
8,Export Liberalisation and Regulatory Compatibility Architecture,19,35,TFC_transparency,0.5263157894736842,0.38161993769470415,0.14469585177898003
8,Export Liberalisation and Regulatory Compatibility Architecture,19,36,SPS_institutions,0.4093567251461988,0.26791277258566976,0.14144395256052905
8,Export Liberalisation and Regulatory Compatibility Architecture,19,37,soe_transparency,0.25263157894736843,0.11277258566978195,0.1398589932775865
8,Export Liberalisation and Regulatory Compatibility Architecture,19,38,RoO_certification,0.6353383458646616,0.5009642486278,0.13437409723686167
8,Export Liberalisation and Regulatory Compatibility Architecture,19,39,MoC_free_transfer,0.44598337950138506,0.31628135759960646,0.1297020219017786
8,Export Liberalisation and Regulatory Compatibility Architecture,19,40,export_quota_qr,0.481203007518797,0.35180240320427236,0.12940060431452466
8,Export Liberalisation and Regulatory Compatibility Architecture,19,41,env_MEA_compl,0.18947368421052632,0.062305295950155756,0.12716838826037058
8,Export Liberalisation and Regulatory Compatibility Architecture,19,42,soe_substantive,0.4780701754385965,0.3530633437175493,0.12500683172104715
8,Export Liberalisation and Regulatory Compatibility Architecture,19,43,MoC_DS,0.6228070175438596,0.5,0.12280701754385959
8,Export Liberalisation and Regulatory Compatibility Architecture,19,44,VA_movement_facilitation,0.38596491228070173,0.2644513672551056,0.12151354502559614
